phrog_phrog	annot
phrog_724	exonuclease recombination-associated
phrog_725	CII-like regulator
phrog_726	NA
phrog_727	NA
phrog_728	NA
phrog_729	cold shock protein
phrog_730	NA
phrog_731	NA
phrog_732	minor tail protein
phrog_733	excisionase
phrog_734	NA
phrog_735	terminase small subunit
phrog_736	NA
phrog_737	minor tail protein
phrog_738	NA
phrog_739	Rz-like spanin
phrog_740	HNH endonuclease
phrog_741	NA
phrog_742	acetyltransferase
phrog_743	single strand DNA binding protein
phrog_744	NA
phrog_745	NA
phrog_746	minor tail protein
phrog_747	NA
phrog_748	head-tail connector protein
phrog_749	NA
phrog_750	NA
phrog_751	NA
phrog_752	major head protein
phrog_753	anti-termination protein Q-like
phrog_754	minor tail protein
phrog_755	RNA ligase
phrog_756	DNA binding protein
phrog_757	DNA methyltransferase
phrog_758	head morphogenesis
phrog_759	tail associated cell-wall hydrolase
phrog_760	NA
phrog_761	thymidylate kinase
phrog_762	NA
phrog_763	head-tail adaptor
phrog_764	cytidyltransferase
phrog_765	NA
phrog_766	head decoration
phrog_767	cAMP phosphodiesterase
phrog_768	DprA-like DNA recombination-mediator protein
phrog_769	transcriptional repressor
phrog_770	DNA transfer protein
phrog_771	virion structural protein
phrog_772	tail fiber protein
phrog_773	major head protein
phrog_774	NA
phrog_775	replication helicase
phrog_776	portal protein
phrog_777	major head protein
phrog_778	tail assembly protein
phrog_779	NA
phrog_780	NA
phrog_781	NA
phrog_782	NA
phrog_783	head-tail adaptor
phrog_784	NA
phrog_785	holin
phrog_786	NA
phrog_787	NA
phrog_788	tail protein
phrog_789	esterase/lipase
phrog_790	endolysin
phrog_791	NA
phrog_792	major tail protein
phrog_793	head-tail adaptor
phrog_794	tail length tape measure protein
phrog_795	partition protein ATPase
phrog_796	NA
phrog_797	NA
phrog_798	NA
phrog_799	DNA methyltransferase
phrog_800	terminase small subunit
phrog_801	dATP / dGTP pyrophosphohydrolase
phrog_802	Alt-like RNA polymerase ADP-ribosyltransferase
phrog_803	host nuclease inhibitor
phrog_804	NA
phrog_805	internal virion protein
phrog_806	NA
phrog_807	major tail protein with Ig-like domain
phrog_808	NA
phrog_809	transcriptional regulator
phrog_810	NA
phrog_811	UmuD-like protein
phrog_812	Rz-like spanin
phrog_813	head-tail adaptor
phrog_814	NA
phrog_815	NA
phrog_816	cell division inhibitor
phrog_817	tail fiber protein
phrog_818	NA
phrog_819	tail protein
phrog_820	major tail protein
phrog_821	transcriptional regulator
phrog_822	amidase
phrog_823	NA
phrog_824	NA
phrog_825	NA
phrog_826	HNH endonuclease
phrog_827	Holliday junction resolvase
phrog_828	NA
phrog_829	NA
phrog_830	head-tail connector protein
phrog_831	NA
phrog_832	RNA polymerase ADP-ribosylase
phrog_833	endolysin
phrog_834	NA
phrog_835	NA
phrog_836	late transcriptional activator
phrog_837	minor tail protein
phrog_838	NA
phrog_839	NA
phrog_840	major head protein
